code_type,code,code_short
modern,brave,brave
modern,breadwinner,breadwinner
modern,calm emotions,calm
modern,close,close
modern,confident,confident
modern,core of family,core of family
modern,cultivate children's personality,personality
modern,cultivate knowledge of judgement,judgement
modern,cultivating independence,cultivating independence
modern,deliver positive views,deliver positive views
modern,detach from the children,detach
modern,economically independent,economically independent
modern,educational resource provider,educational
modern,encyclopedia,encyclopedia
modern,enlightenment,enlightenment
modern,explore the self,explore the self
modern,friend,friend
modern,grow up together with children,grow up
modern,harvest happiness,harvest happiness
modern,hold up the whole family,hold up the whole family
modern,independence,independence
modern,knowing the self,knowing the self
modern,knowledgeable,knowledgeable
modern,love the self first,love the self first
modern,material resource provider,material
modern,multiple roles,multiple roles
modern,not spoiling children,spoiling
modern,occupation,occupation
modern,perfection of the self,perfection of the self
modern,pillar,pillar
modern,provide a sense of security,provide a sense of security
modern,reasoning,reasoning
modern,respect children,respect
modern,responsibility to society,society
modern,role model,role model
modern,self,self-self
modern,social resource provider,social
modern,spiritual pillar,spiritual pillar
modern,stable emotions,stable
modern,strict,strict
modern,strong,strong
modern,understanding,understanding
modern,superwomen,superwomen
traditional,love,love-love
traditional,accompany,accompany
traditional,babysitter,babysitter
traditional,backup for children,backup for children
traditional,backup for husband,backup for husband
traditional,caring,caring
traditional,caring for the family,caring for the family
traditional,caring for the in-laws,caring for the in-laws
traditional,childbearing,childbearing
traditional,children centred,children centred
traditional,dedication,dedication
traditional,education,education
traditional,family centred,family centred
traditional,filial,filial
traditional,gentle,gentle
traditional,giving,giving
traditional,giving children the best with best effort,children the best with best effort
traditional,good wife and great mother,good wife and great mother
traditional,great,great
traditional,guardian,guardian
traditional,guidance,guidance
traditional,home,home
traditional,love husband,love husband
traditional,not asking for return,not asking for return
traditional,obligation,obligation
traditional,patience,patience
traditional,provide happiness,provide happiness
traditional,responsibility,responsibility
traditional,sacrifice the self,sacrifice the self
traditional,selfless,selfless
traditional,sharing,sharing
traditional,soft,soft
traditional,someone to rely on,rely on
traditional,supportive for children,supportive for children
traditional,teacher,teacher
traditional,tolerance,tolerance
traditional,unconditional love,unconditional love
traditional,warm,warm
traditional,"women are weak, but mothers are strong","women are weak, but mothers are strong"
traditional,mother,mother-mother
traditional,toilsome,toilsome
modern,an important role in the family,an important role in the family
traditional,influential,influential
traditional,pressure,pressure
